Filtered_message,Decision
"Distance system was adapted to previous inspection project No. 4-7005-12352.
Since previous inspection launcher and receiver areas were modified.
Distance system from previous inspection was shifted on 0.346 m to set launcher first valve to zero.
5 of 5 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12352.
Since previous inspection few areas were modified.
Distance system from previous inspection was shifted on 2.243 m to set launcher first valve to zero.
Tool velocity was upper quality limit (&gt;1.90 m/s) for ~36.2% of p/l length, max. value is 2.48 m/s and avg. value is 1.8 m/s.
9 of 9 AGM markers were recorded.",0
"Distance system was adapted to previous inspection project No. 4-7005-12365.
Tool velocity was upper quality limit (&gt;2.64 m/s) for ~1.7% of p/l length, max. value is 4.87 m/s and avg. value is 1.11 m/s.
3 of 3 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12444.
7 of 7 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12352.
Since previous inspection launcher and receiver areas were modified.
Distance system from previous inspection was shifted on 0.947 m to set launcher first valve to zero.
Tool velocity was upper quality limit (&gt;2.64 m/s) for ~78.3% of p/l length, max. value is 4.61 m/s and avg. value is 2.89 m/s.
PVH sensor loss is 40.48%.
4 of 4 AGM markers were recorded.",0
"Launcher first valve was set to zero.
Line length from EOF is 3185 m. Recorded line length is 3044 m - 95.5%.
Line length should be checked with next inspections.
6 of 6 AGM markers were recorded.",1
"Launcher first valve was set to zero.
Line length from EOF is 3523 m, recorded line length is 3371.7 m - 95.7%. Line length should be checked with next inspections.
4 of 4 AGM markers were recorded.",1
"Launcher first valve was set to zero.
Current inspection 4-7005-12602 was set as master in distance adaptation due to rerouting in the first ~70 m since prev. insp. 4-7005-11746-ex.06T31MS5.
Since previous inspection one joint was replaced at dist. ~102.7-106.7 m; receiver area was modified.
Recorded line length is 1806.8 m - 82.5%, line length from EOF is 2190 m. 
Pipe magnetization during the run was out of spec. for 37.96% of pipeline length, min. value is 6.31 kA/m, max. value is 86.94 kA/m, avg. value is 10.84 kA/m.
High deviation of calc. WT was observed (min. calc. WT is 7 mm, max. calc. WT is 13 mm). Nom. WT from EOF is 8.7 mm / 9.5 mm.
5 of 5 AGM markers were recorded.",0
"Distance system was adapted to previous inspection project No. 4-7005-12301.
6 of 6 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12301.
Since previous inspection one joint was replaced.
The tool was moving in &quot;stop and go&quot; mode with &quot;speed jumps&quot; and tool vibrations.
Data quality is reduced in &quot;speed affected&quot; areas. Feature sizing might be affected.
2 of 2 AGM markers were recorded.",1
"Distance system was adapted to previous inspection project No. 4-7005-12444.
Since previous inspection few joints were replaced.
3 of 3 AGM markers were recorded.",1
